inning,estimated_woba_using_speedangle,outs_when_up,Swing
3,0.092,2,
4,0.07,2,
5,0.024,0,0
3,0.785,2,
4,0.575,0,0
3,0.008,2,
3,0.171,1,1
2,0.173,2,
4,0.136,0,0
1,0.254,2,
2,0.413,1,0
1,0.03,2,
2,0.032,0,0
1,0.085,2,
1,0.083,2,
1,0.086,1,0
1,0.39,1,0
1,0.357,0,0
1,0.919,0,0
7,0.02,2,
5,0.252,1,0
6,0.178,2,
5,0.047,0,0
5,0.017,2,
5,0.185,2,
5,1.019,0,0
4,0.183,2,
5,0.201,0,0
6,0.397,0,0
5,0.177,0,0
3,0.094,1,0
4,0.098,2,
4,0.219,0,0
3,0.005,2,
4,0.142,1,0
2,0.534,2,
3,0.095,2,
3,0.053,1,1
3,0.558,0,0
3,0.02,1,0
2,0.225,1,0
2,0,0,1
2,0.03,0,0
1,0.126,2,
1,0.059,2,
1,0.292,1,0
1,0.727,0,0
5,0.162,1,1
6,0.008,0,1
6,0.003,0,0
5,0.152,1,0
6,0.364,2,
4,0.185,2,
5,0.071,2,
6,0.013,0,0
4,0.275,1,0
3,0.011,2,
6,0.557,0,1
4,0.262,2,
4,0.027,1,0
4,0.305,1,0
4,0.01,0,0
3,0.015,2,
3,0.046,2,
3,0.106,2,
3,1.75,0,1
4,0.232,0,1
3,0.334,0,0
1,0.321,2,
3,0.211,0,0
2,0.32,0,0
2,0.047,2,
1,0.008,2,
1,0.058,1,1
1,0.196,1,0
1,0.076,2,
1,0.36,0,0
7,0.47,0,0
5,0.119,0,0
4,0.386,2,
5,0.764,0,0
5,0.117,0,0
4,0.082,0,0
3,0.638,2,
4,0.159,1,0
3,0.073,1,0
3,0.307,2,
3,0.367,0,0
4,0.036,0,0
3,0.448,2,
3,0.051,2,
3,0,1,1
3,0.169,1,0
3,0.014,0,0
2,0.025,1,0
3,0.532,0,0
2,0.171,0,0
2,0.047,0,0
1,0.188,2,
1,0.084,1,0
1,0.019,1,0
1,0.243,1,0
8,0.018,1,0
7,0.021,0,0
6,0.003,0,0
5,0.005,2,
5,0.443,1,0
5,0.308,2,
5,0.111,0,1
5,0.222,2,
5,0.08,2,
